author,category,difficulty,duration,link,name,rating
Casey Ayers,business-professional,Intermediate,2h 44m,https://www.pluralsight.com:443/courses/business-analysis-techniques-toolkit,The Business Analysis Techniques Toolkit,
Milena Pajic,business-professional,Advanced,2h 23m,https://www.pluralsight.com:443/courses/agile-business-analysis-techniques,Agile Business Analysis Techniques,
Google Cloud,business-professional,Beginner,3h 18s,https://www.pluralsight.com:443/courses/business-transformation-google-cloud-update,Business Transformation with Google Cloud,
Google Cloud,it-networking,Intermediate,3h 29m,https://www.pluralsight.com:443/courses/networking-google-cloud-defining-implementing-networks,Networking in Google Cloud: Defining and Implementing Networks,
Joel Lamendola,business-professional,Beginner,30m,https://www.pluralsight.com:443/courses/business-basics,Business Basics,
CodeMash,business-professional,Beginner,57m,https://www.pluralsight.com:443/courses/codemash-session-44,Intro to Mobile Security Testing: CodeMash,
Michael Krasowski,business-professional,Intermediate,2h 27m,https://www.pluralsight.com:443/courses/technical-business-analyst,The Technical Business Analyst,
Devin Thorpe,business-professional,Beginner,1h 38m,https://www.pluralsight.com:443/courses/writing-business-plan,Writing a Business Plan,
Lawrence T. Barnard,business-professional,Advanced,1h 50m,https://www.pluralsight.com:443/courses/building-business-case-better-business,Building a Better Business Case – Building a Better Business,
Theresa Miller,business-professional,Beginner,40m,https://www.pluralsight.com:443/courses/irrational-customers-escalating-complaints-dealing,Dealing with Irrational Customers and Escalating Complaints,
Jamie Champagne,business-professional,Beginner,1h 20m,https://www.pluralsight.com:443/courses/intro-ecba,Introduction to the Entry Certificate in Business Analysis (ECBA™) Certification,
Devin Thorpe,business-professional,Beginner,1h 54m,https://www.pluralsight.com:443/courses/add-profit-to-business-by-adding-purpose,How to Add Profit to Your Business by Adding Purpose,
Casey Ayers,business-professional,Intermediate,2h 9m,https://www.pluralsight.com:443/courses/business-analysis-effective-business-analysis,Business Analysis: The Skills and Competencies of Effective Business Analysts,
Alan Ackmann,business-professional,Intermediate,1h 26m,https://www.pluralsight.com:443/courses/being-better-communicator-grammar-dejargoning-articulation,"Being a Better Communicator: Grammar, De-jargoning, and Articulation",
Jamie Champagne,business-professional,Beginner,1h 41m,https://www.pluralsight.com:443/courses/intro-ccba,Intro to the Certification of Capability in Business Analysis (CCBA),
Casey Ayers,business-professional,Beginner,2h 12m,https://www.pluralsight.com:443/courses/project-procurements-performance-change-management,"Project Procurements, Performance, and Change Management",
Jamie Champagne,business-professional,Beginner,1h 33m,https://www.pluralsight.com:443/courses/cbap-intro-certified-business-analysis-professional-certification,Intro to the Certified Business Analysis Professional™ (CBAP®) Certification,
Patricia Ciszek,business-professional,Beginner,3h 31s,https://www.pluralsight.com:443/courses/outlook-2013-business-professionals,Outlook 2013 Fundamentals for Business Professionals,
Alice Meredith,business-professional,Beginner,1h 6m,https://www.pluralsight.com:443/courses/establish-team-goals-roles-guidelines,"Establishing Goals, Roles, and Guidelines for a Team",
Milena Pajic,business-professional,Intermediate,2h 6m,https://www.pluralsight.com:443/courses/business-analysis-capturing-designing-requirements,Business Analysis: Capturing and Designing Requirements,
Casey Ayers,business-professional,Beginner,3h 20m,https://www.pluralsight.com:443/courses/conducting-business-analysis-developing-requirements,Conducting Business Analysis & Developing Requirements,
Mike Pfeiffer,it-certifications,Advanced,2h 45m,https://www.pluralsight.com:443/courses/monitoring-metrics-logging-aws-certified-devops-engineer,"AWS Certified DevOps Engineer: Monitoring, Metrics, and Logging",
Glenn Weadock,it-certifications,Beginner,2h 33m,https://www.pluralsight.com:443/courses/computer-fundamentals-mobile-devices,Computer Fundamentals: Mobile Devices,
David Davis,it-certifications,Intermediate,2h 2m,https://www.pluralsight.com:443/courses/creating-lab-vmware-fusion,Creating a Lab with VMware Fusion,
David Davis,it-certifications,Intermediate,1h 56m,https://www.pluralsight.com:443/courses/creating-lab-vmware-workstation-pro,Creating a Lab with VMware Workstation Pro,
Glenn Weadock,it-certifications,Intermediate,2h 35m,https://www.pluralsight.com:443/courses/configuring-windows-10-connectivity,Configuring Windows 10 Connectivity,
Herta Nava,it-certifications,Intermediate,1h 58m,https://www.pluralsight.com:443/courses/mac-osx-support-data-management,macOS X Support: Data Management,
Sean Douglas,it-certifications,Intermediate,2h 20m,https://www.pluralsight.com:443/courses/cisco-data-center-core-configuring-network-storage,Cisco Data Center Core: Configuring Network Storage,
Glenn Weadock,it-certifications,Intermediate,2h 2m,https://www.pluralsight.com:443/courses/modern-desktops-policies-profiles,Managing Microsoft Desktops: Policies and Profiles,
Sean Douglas,it-certifications,Intermediate,1h,https://www.pluralsight.com:443/courses/cisco-data-center-core-350-601-exam-prep,Cisco Data Center Core: 350-601 Exam Prep,
Glenn Weadock,it-certifications,Intermediate,3h 17m,https://www.pluralsight.com:443/courses/modern-desktops-deploying-updating-os,Managing Microsoft Desktops: Deploying and Updating Operating Systems,
Orin Thomas,it-networking,Intermediate,3h 52m,https://www.pluralsight.com:443/courses/architecting-azure-solutions-70-534-infrastructure-networking,Architecting Azure Solutions (70-534): Infrastructure and Networking,
Glenn Weadock,it-certifications,Intermediate,2h 44m,https://www.pluralsight.com:443/courses/maintaining-windows-10,Maintaining Windows 10,
Rich Bibby,it-networking,Beginner,1h 54m,https://www.pluralsight.com:443/courses/juniper-jncia-junos-jn0-102-networking-fundamentals,Juniper Networks: Networking Fundamentals,
Aaron Staines,it-networking,Beginner,1h 27m,https://www.pluralsight.com:443/courses/tcp-ip-networking-fundamentals-sysadmins,TCP/IP and Networking Fundamentals for Sysadmins,
Andrew Mallett,it-certifications,Intermediate,5h 10m,https://www.pluralsight.com:443/courses/linux-managing-web-services-lpic-2,Linux: Managing Web Services (LPIC-2),
Ben Piper,it-networking,Beginner,3h 26m,https://www.pluralsight.com:443/courses/practical-networking,Practical Networking,
Rhonda Layfield-Dwyer,it-networking,Intermediate,4h 44m,https://www.pluralsight.com:443/courses/windows-8-deploy-mdt,Windows 8 Deployment with Microsoft Deployment Toolkit 2012 U1,
Theresa Miller,business-professional,Intermediate,57m,https://www.pluralsight.com:443/courses/onedrive-business-managing,Managing OneDrive for Business,
Ross Bagurdes,it-networking,Beginner,2h 53m,https://www.pluralsight.com:443/courses/network-troubleshooting-tools,Network Troubleshooting and Tools,
Ross Bagurdes,it-networking,Intermediate,1h 55m,https://www.pluralsight.com:443/courses/introduction-networking-cisco-ccna,Introduction to Networking for Cisco CCNA,
Casey Ayers,business-professional,Beginner,3h 3m,https://www.pluralsight.com:443/courses/business-analysis-planning,Planning for Business Analysis,
Ross Bagurdes,it-networking,Beginner,2h 58m,https://www.pluralsight.com:443/courses/enterprise-network-infrastructure-introduction,Introduction to Enterprise Network Infrastructure,
Ross Bagurdes,it-networking,Beginner,5h 25m,https://www.pluralsight.com:443/courses/comptia-network-plus-networking-concepts,Networking Concepts and Protocols,
Jason Alba,business-professional,Beginner,2h 6m,https://www.pluralsight.com:443/courses/how-to-speak-to-business-leaders,How to Speak to Business Leaders,
Chris Wahl,it-certifications,Intermediate,4h 26m,https://www.pluralsight.com:443/courses/cisco-ccna-data-center-nexus-switching-san,"Cisco CCNA Data Center: Nexus, Advanced Switching & SAN",
Orin Thomas,it-certifications,Intermediate,3h 39m,https://www.pluralsight.com:443/courses/windows-server-2012-r2-certificate-services,Windows Server 2012 R2 Certificate Services,
Frederico Aranha,it-certifications,Beginner,1h 49m,https://www.pluralsight.com:443/courses/it-goverance-foundations,IT Governance Foundations,
Vlad Catrinescu,it-networking,Beginner,2h 12m,https://www.pluralsight.com:443/courses/computer-fundamentals-networking,Computer Fundamentals: Networking,
Glenn Weadock,it-certifications,Intermediate,2h 5m,https://www.pluralsight.com:443/courses/windows-server-administration-concepts-basics-installation,Windows Server Administration Concepts: Basics and Installation,
Glenn Weadock,it-certifications,Intermediate,2h 49m,https://www.pluralsight.com:443/courses/performing-windows-10-post-installation-tasks,Performing Windows 10 Post-installation Tasks,
Piotr Gaczkowski,it-certifications,Advanced,2h 56s,https://www.pluralsight.com:443/courses/managing-advanced-kubernetes-logging-tracing,Managing Advanced Kubernetes Logging and Tracing,
Frederico Aranha,it-certifications,Beginner,1h 40m,https://www.pluralsight.com:443/courses/cobit-enabling-it-governance-management,Enabling IT Governance and Management,
Kim Schmidt,machine-learning,Advanced,2h 54m,https://www.pluralsight.com:443/courses/data-engineering-aws-machine-learning,Data Engineering with AWS Machine Learning,
,it-certifications,Beginner,58m,https://www.pluralsight.com:443/courses/play-by-play-science-behind-microsoft-exams,Play by Play: The Science Behind Microsoft Exams,
Jeff Adkin,it-certifications,Intermediate,2h 21m,https://www.pluralsight.com:443/courses/powershell-guis-building-wpf-free,Building Windows PowerShell GUIs in WPF for Free,
Mike Pfeiffer,it-certifications,Advanced,2h 51m,https://www.pluralsight.com:443/courses/high-availability-elasticity-aws-certified-devops-engineer,AWS Certified DevOps Engineer: High Availability and Elasticity,
Glenn Weadock,it-certifications,Beginner,26m,https://www.pluralsight.com:443/courses/computer-fundamentals-introduction-a-plus-exam,Computer Fundamentals: Introduction to the A+ Exam,
Microsoft Ignite 2019,machine-learning,Beginner,55m,https://www.pluralsight.com:443/courses/microsoft-ignite-session-42,Machine Learning Simplified: From Ideation to Deployment with Azure Machine Learning,
Google Cloud,machine-learning,Intermediate,3h 18m,https://www.pluralsight.com:443/courses/launching-machine-learning,Launching into Machine Learning,
Abhishek Kumar,machine-learning,Advanced,4h 10m,https://www.pluralsight.com:443/courses/advanced-machine-learning-encog,Advanced Machine Learning with ENCOG,
Nick Russo,it-certifications,Intermediate,17m,https://www.pluralsight.com:443/courses/introduction-cisco-certified-devnet-professional-certification,Introduction to the Cisco Certified DevNet Professional Certification,
Google Cloud,machine-learning,Intermediate,3h 19m,https://www.pluralsight.com:443/courses/how-google-does-machine-learning,How Google Does Machine Learning,
Google Cloud,machine-learning,Intermediate,5h 23m,https://www.pluralsight.com:443/courses/machine-learning-business-professionals,Machine Learning for Business Professionals,
Vitthal Srinivasan,machine-learning,Beginner,4h 12m,https://www.pluralsight.com:443/courses/understanding-applying-linear-regression,Understanding and Applying Linear Regression,
Amber Israelsen,machine-learning,Intermediate,2h 18m,https://www.pluralsight.com:443/courses/fundamentals-machine-learning-aws,Fundamentals of Machine Learning on AWS,
Matthew Renze,machine-learning,Beginner,1h 9m,https://www.pluralsight.com:443/courses/data-science-big-picture,Data Science: The Big Picture,
Janani Ravi,machine-learning,Intermediate,2h 43m,https://www.pluralsight.com:443/courses/creating-machine-learning-models,Creating Machine Learning Models,
Swetha Kolalapudi,machine-learning,Beginner,3h 8m,https://www.pluralsight.com:443/courses/machine-learning-algorithms,How to Think About Machine Learning Algorithms,
Janani Ravi,machine-learning,Intermediate,2h 44m,https://www.pluralsight.com:443/courses/experimental-design-data-analysis,Experimental Design for Data Analysis,
Sahil Malik,machine-learning,Beginner,1h 58m,https://www.pluralsight.com:443/courses/microsoft-azure-developer-creating-integrating-ai-services-update,Microsoft Azure Developer: Creating and Integrating AI with Azure Services,
Janani Ravi,machine-learning,Intermediate,2h 54m,https://www.pluralsight.com:443/courses/tensorflow-sentiment-analysis-recurrent-neural-networks,Sentiment Analysis with Recurrent Neural Networks in TensorFlow,
Janani Ravi,machine-learning,Beginner,3h 12m,https://www.pluralsight.com:443/courses/python-scikit-learn-building-machine-learning-models,Building Machine Learning Models in Python with scikit-learn,
Paolo Perrotta,machine-learning,Beginner,2h 22m,https://www.pluralsight.com:443/courses/how-machine-learning-works,How Machine Learning Works,
Google Cloud,machine-learning,Advanced,3h 17m,https://www.pluralsight.com:443/courses/production-machine-learning-systems,Production Machine Learning Systems,
Janani Ravi,machine-learning,Advanced,3h 5m,https://www.pluralsight.com:443/courses/deploying-machine-learning-solutions,Deploying Machine Learning Solutions,
Simon Allardice,machine-learning,Beginner,39m,https://www.pluralsight.com:443/courses/machine-learning-executive-briefing,Machine Learning: Executive Briefing,
Janani Ravi,machine-learning,Intermediate,3h 24m,https://www.pluralsight.com:443/courses/designing-machine-learning-model,Designing a Machine Learning Model,
Shawn Hainsworth,machine-learning,Advanced,2h 21m,https://www.pluralsight.com:443/courses/scalable-machine-learning-microsoft-server,Scalable Machine Learning with the Microsoft Machine Learning Server,
Jerry Kurata,machine-learning,Beginner,1h 24m,https://www.pluralsight.com:443/courses/r-understanding-machine-learning,Understanding Machine Learning with R,
Abhishek Kumar,machine-learning,Advanced,3h 41m,https://www.pluralsight.com:443/courses/advanced-machine-learning-encog-pt2,Advanced Machine Learning with ENCOG - Part 2,
David Chappell,machine-learning,Beginner,43m,https://www.pluralsight.com:443/courses/understanding-machine-learning,Understanding Machine Learning,
Mohammed Osman,machine-learning,Beginner,2h 40m,https://www.pluralsight.com:443/courses/building-machine-learning-solution,Building Your First Machine Learning Solution,
Katharine Beaumont,machine-learning,Beginner,2h 51m,https://www.pluralsight.com:443/courses/play-by-play-machine-learning-exposed,Play by Play: Machine Learning Exposed,
Janani Ravi,machine-learning,Beginner,1h 37m,https://www.pluralsight.com:443/courses/google-machine-learning-apis-designing-implementing-solutions,Designing and Implementing Solutions Using Google Machine Learning APIs,
Janani Ravi,machine-learning,Beginner,3h 23m,https://www.pluralsight.com:443/courses/preparing-data-machine-learning,Preparing Data for Machine Learning,
Nicolas Blank,virtualization,Intermediate,3h 27m,https://www.pluralsight.com:443/courses/azure-site-recovery-iaas-migration-disaster-recovery,Azure Site Recovery: IaaS Migration and Disaster Recovery,
Sean Wilkins,virtualization,Beginner,1h 44m,https://www.pluralsight.com:443/courses/fundamental-virtualization-cloud-troubleshooting-scenarios,Fundamental Virtualization and Cloud Troubleshooting Scenarios,
Mike Hammond,virtualization,Intermediate,2h 46m,https://www.pluralsight.com:443/courses/windows-server-2012-designing-virtualization,Windows Server 2012 Designing Virtualization Infrastructure,
Nick Russo,it-certifications,Beginner,14m,https://www.pluralsight.com:443/courses/introduction-cisco-certified-devnet-associate-certification,Introduction to the Cisco Certified DevNet Associate Certification,
David Davis,virtualization,Beginner,59m,https://www.pluralsight.com:443/courses/virtualization-big-picture,Virtualization: The Big Picture,
Frank Celauro,virtualization,Intermediate,43m,https://www.pluralsight.com:443/courses/commvault-virtualization-concepts-configuration,Commvault® Virtualization,
Tim Warner,virtualization,Beginner,1h 39m,https://www.pluralsight.com:443/courses/microsoft-azure-implement-manage-virtual-networks,Managing Microsoft Azure Virtual Networks,
Tim Warner,virtualization,Beginner,1h 42m,https://www.pluralsight.com:443/courses/microsoft-azure-configuring-virtual-machines,Configuring Virtual Machines in Microsoft Azure,
Vlad Catrinescu,virtualization,Beginner,1h 27m,https://www.pluralsight.com:443/courses/computer-fundamentals-virtualization-cloud-computing,Computer Fundamentals: Virtualization and Cloud Computing,
Greg Shields,virtualization,Intermediate,4h 27m,https://www.pluralsight.com:443/courses/windows-server-2012-70-414-virtualization-infrastructure,Windows Server 2012 R2 (70-414) Virtualization Infrastructure,
David Clinton,virtualization,Intermediate,1h 19m,https://www.pluralsight.com:443/courses/linux-server-virtualization-lpic3-304-1,Linux Server Virtualization,
Greg Shields,virtualization,Intermediate,4h 37m,https://www.pluralsight.com:443/courses/vsphere-6-datacenter-advanced-storage,vSphere 6 Data Center: Configure Advanced Storage,
David Clinton,virtualization,Beginner,1h 43m,https://www.pluralsight.com:443/courses/getting-started-linux,Getting Started with Linux,
David Davis,virtualization,Beginner,1h 9m,https://www.pluralsight.com:443/courses/virtualization-real-world,Virtualization in the Real World,
David Davis,virtualization,Beginner,1h 16m,https://www.pluralsight.com:443/courses/fundamentals-storage-virtualization,Fundamentals of Storage Virtualization,
Gary Grudzinskas,virtualization,Intermediate,2h 15m,https://www.pluralsight.com:443/courses/manage-azure-virtual-networks-vpn-gateway,"Deploy Azure Virtual Networks, VPNs, and Gateways",
J. Peter Bruzzese,virtualization,Intermediate,3h 11m,https://www.pluralsight.com:443/courses/exchange-2013-virtualization,Best Practices with Exchange 2013 Virtualization,
Greg Shields,virtualization,Intermediate,2h 12m,https://www.pluralsight.com:443/courses/vsphere-6-datacenter-advanced-networking,vSphere 6 Data Center: Configure Advanced Networking,
Ken Mauldin,security,Beginner,3h 57m,https://www.pluralsight.com:443/courses/mac-securing-protecting,Securing and Protecting Macs,
Tim Warner,virtualization,Advanced,1h 43m,https://www.pluralsight.com:443/courses/microsoft-azure-deploying-multiple-virtual-machines,Deploying Multiple Virtual Machines in Microsoft Azure,
Tim Warner,virtualization,Advanced,52m,https://www.pluralsight.com:443/courses/microsoft-azure-on-premises-networks-virtual-networks-connecting,Connecting On-premises Networks with Azure Virtual Networks,
Orin Thomas,security,Intermediate,3h 20m,https://www.pluralsight.com:443/courses/azure-solutions-70-534-storage-data-access,Architecting Azure Solutions (70-534): Application Storage and Data Access Strategy,
Ben Piper,security,Intermediate,4h 13m,https://www.pluralsight.com:443/courses/architecting-security-aws,Architecting for Security on AWS,
Glenn Weadock,security,Beginner,2h 39m,https://www.pluralsight.com:443/courses/computer-fundamentals-security,Computer Fundamentals: Security,
Tim Warner,virtualization,Intermediate,1h 2m,https://www.pluralsight.com:443/courses/microsoft-azure-connecting-virtual-networks,Connecting Microsoft Azure Virtual Networks,
Andrew Mallett,security,Advanced,4h 15m,https://www.pluralsight.com:443/courses/linux-host-security,Linux Host Security,
Sean Wilkins,security,Beginner,1h 2m,https://www.pluralsight.com:443/courses/security-cloud-plus-cv0-002,Security in the Cloud,
Elton Stoneman,security,Intermediate,3h 34m,https://www.pluralsight.com:443/courses/istio-managing-apps-kubernetes,Managing Apps on Kubernetes with Istio,
Ross Bagurdes,security,Intermediate,2h 25m,https://www.pluralsight.com:443/courses/securing-switch,Securing the Switch,
Jason Helmick,security,Advanced,4h 25m,https://www.pluralsight.com:443/courses/microsoft-powershell-implementing-jea,Implementing Microsoft PowerShell Just Enough Administration (JEA),
Mark Wilkins,security,Intermediate,2h 13m,https://www.pluralsight.com:443/courses/aws-security-operations-object-storage,AWS Security Operations: Securing Access to Object Storage,
Craig Stansbury,security,Intermediate,1h 24m,https://www.pluralsight.com:443/courses/cisco-core-security-network-security-cisco-asa,Cisco Core Security: Network Security with Cisco ASA,
Ned Bellavance,security,Intermediate,2h 8m,https://www.pluralsight.com:443/courses/microsoft-azure-key-vault-configuring-managing,Configuring and Managing Microsoft Azure Key Vault,
Jason Helmick,security,Intermediate,2h 51m,https://www.pluralsight.com:443/courses/oracle-compute-cloud-service-foundations,Oracle Compute Cloud Service Foundations,
Craig Stansbury,security,Intermediate,1h 15m,https://www.pluralsight.com:443/courses/cisco-core-security-network-security-cisco-firepower,Cisco Core Security: Network Security with Cisco Firepower,
Craig Stansbury,security,Intermediate,1h 42m,https://www.pluralsight.com:443/courses/cisco-core-security-network-security-cisco-ios,Cisco Core Security: Network Security with Cisco IOS,
John Savill,security,Intermediate,3h 35m,https://www.pluralsight.com:443/courses/microsoft-azure-networking-strategy-design,Design a Networking Strategy for Microsoft Azure,
Craig Stansbury,security,Intermediate,3h 20m,https://www.pluralsight.com:443/courses/cisco-core-security-network-security,Cisco Core Security: Network Security Fundamentals,
Gary Grudzinskas,security,Beginner,1h 40m,https://www.pluralsight.com:443/courses/microsoft-azure-resource-groups-using,Using Microsoft Azure Resource Groups,
Ned Bellavance,security,Advanced,3h 35m,https://www.pluralsight.com:443/courses/advanced-networking-aws,Advanced Networking on AWS,
Craig Stansbury,security,Intermediate,1h 20m,https://www.pluralsight.com:443/courses/cisco-core-security-security-concepts,Cisco Core Security: Security Concepts,
Chad Russell,security,Intermediate,2h 15m,https://www.pluralsight.com:443/courses/cloud-devops-securing-paas-iaas-saas,"Securing Cloud DevOps in PaaS, IaaS, and SaaS Settings",
Gary Grudzinskas,security,Intermediate,2h 1m,https://www.pluralsight.com:443/courses/securing-virtual-machines-azure-key-vault,Securing Virtual Machines with Azure Key Vault,
Orin Thomas,security,Intermediate,2h 59m,https://www.pluralsight.com:443/courses/architecting-azure-solutions-70-534-secure-resources,Architecting Azure Solutions (70-534): Secure Resources,
Ben Piper,security,Intermediate,1h 45m,https://www.pluralsight.com:443/courses/monitoring-security-ccnp-routing-switching-300-101-route,Monitoring & Security for CCNP Routing and Switching 300-101 ROUTE,
John Hales,security,Intermediate,6h 55m,https://www.pluralsight.com:443/courses/managing-aws-security-identity,Managing AWS Security and Identity,
David Davis,servers,Beginner,49m,https://www.pluralsight.com:443/courses/fundamentals-network-virtualization,Fundamentals of Network Virtualization,
Ammar Hasayen,security,Beginner,57m,https://www.pluralsight.com:443/courses/microsoft-azure-managing-responding-security-alerts,Managing and Responding to Microsoft Azure Security Alerts,
Anthony Nocentino,security,Intermediate,2h 40m,https://www.pluralsight.com:443/courses/security-network-host-lfce,LFCE: Network and Host Security,
Ron Schindler,servers,Intermediate,5h 9m,https://www.pluralsight.com:443/courses/getting-started-office-365-administration,Getting Started with Office 365 Administration,
J. Peter Bruzzese,servers,Intermediate,3h 40m,https://www.pluralsight.com:443/courses/exchange-2013-admin-adv-ft,Exchange Server 2013: Advanced Features,
Tim Warner,servers,Intermediate,1h 46m,https://www.pluralsight.com:443/courses/windows-server-2012-70-413-logical-active-directory,Windows Server 2012 R2 (70-413) Logical AD Infrastructure,
Greg Shields,servers,Intermediate,2h 55m,https://www.pluralsight.com:443/courses/windows-server-2012-70-410-group-policy,Windows Server 2012 R2 (70-410) Manage Group Policy,
Russell Smith,servers,Intermediate,1h 45m,https://www.pluralsight.com:443/courses/azure-automation-dsc-managing-configurations,Managing Configurations with Azure Automation DSC,
Gary Grudzinskas,servers,Intermediate,5h 9m,https://www.pluralsight.com:443/courses/windows-server-2016-active-directory-certificate-services,Implementing Active Directory Certificate Services in Windows Server 2016,
Tim Warner,servers,Intermediate,1h 49m,https://www.pluralsight.com:443/courses/windows-server-2012-70-413-physical-active-directory,Windows Server 2012 R2 (70-413) Physical AD Infrastructure,
Greg Shields,servers,Intermediate,1h 25s,https://www.pluralsight.com:443/courses/windows-server-2012-mcsa-70-412,Windows Server 2012 R2 (70-412) MCSA and the 70-412 Exam,
Greg Shields,servers,Intermediate,2h 12m,https://www.pluralsight.com:443/courses/windows-server-2012-configure-network-services,Windows Server 2012 R2 (70-412) Configure Network Services,
Vlad Catrinescu,servers,Intermediate,3h 32m,https://www.pluralsight.com:443/courses/planning-sharepoint-server-2016-topology-services,Planning for SharePoint Server 2016: Physical Topology and Services,
Ken Mauldin,servers,Intermediate,3h 30m,https://www.pluralsight.com:443/courses/windows-server-2012-high-availability-pt2,Windows Server 2012 High Availability: Hyper-V,
Vlad Catrinescu,servers,Beginner,55m,https://www.pluralsight.com:443/courses/sql-server-databases-powershell,Accessing SQL Server Databases from Windows PowerShell,
Greg Shields,servers,Intermediate,2h 29m,https://www.pluralsight.com:443/courses/windows-server-2012-70-411-configure-active-directory,Windows Server 2012 R2 (70-411) Configure Active Directory,
Greg Shields,servers,Intermediate,3h 19m,https://www.pluralsight.com:443/courses/install-configure-adds-windows-server-2016,Install and Configure Active Directory Domain Services in Windows Server 2016,
Jason Helmick,servers,Intermediate,3h 14m,https://www.pluralsight.com:443/courses/windows-server-2012-70-410-server-roles,Windows Server 2012 R2 (70-410) Server Roles and Features,
Vlad Catrinescu,servers,Intermediate,2h 29m,https://www.pluralsight.com:443/courses/installing-configuring-office-online-server,Installing and Configuring Office Online Server,
Greg Shields,servers,Intermediate,1h 44m,https://www.pluralsight.com:443/courses/windows-server-2012-continuity-disaster-recovery,Windows Server 2012 R2 (70-412) Continuity and Disaster Recovery,
Greg Shields,servers,Intermediate,30m,https://www.pluralsight.com:443/courses/windows-server-2012-mcsa-70-410,Windows Server 2012 R2 (70-410) MCSA and the 70-410 Exam,
Greg Shields,servers,Intermediate,4h 49m,https://www.pluralsight.com:443/courses/windows-server-2016-hyper-v,Implementing Windows Server 2016 Hyper-V,
Mike Hammond,servers,Intermediate,1h 45m,https://www.pluralsight.com:443/courses/windows-server-2012-adv-infrastructure-management,Windows Server 2012 Advanced Infrastructure Management,
Jason Helmick,servers,Beginner,4h 23m,https://www.pluralsight.com:443/courses/security-for-comptia-server-plus-sk0-004,Security for CompTIA Server+ (SK0-004),
Orin Thomas,servers,Intermediate,5h 47m,https://www.pluralsight.com:443/courses/windows-server-2016-dns,Implementing Windows Server 2016 DNS,
Tim Warner,servers,Intermediate,2h 24m,https://www.pluralsight.com:443/courses/windows-server-2012-70-413-server-deployment,Windows Server 2012 R2 (70-413) Server Deployment,
Greg Shields,servers,Intermediate,1h 54m,https://www.pluralsight.com:443/courses/windows-server-2012-70-411-network-policy-server,Windows Server 2012 R2 (70-411) Network Policy Server,
Jomarc Baquiran,manufacturing-design,Intermediate,1h 47m,https://www.pluralsight.com:443/courses/onshape-multi-body-part-design,Onshape: Multi-body Part Design,
John Hales,servers,Beginner,4h 1m,https://www.pluralsight.com:443/courses/server-architecture-for-comptia-server-plus-sk0-004,Server Architecture for CompTIA Server+ (SK0-004),
Tony Riggs,manufacturing-design,Beginner,59m,https://www.pluralsight.com:443/courses/solidworks-multi-body-part-design,SOLIDWORKS - Multi-body Part Design,
Samer Najia,manufacturing-design,Advanced,2h 38m,https://www.pluralsight.com:443/courses/modifying-an-existing-prosthetic-design-tinkercad-2258,Modifying an Existing Prosthetic Design with Tinkercad,
Jason Helmick,servers,Beginner,1h 3m,https://www.pluralsight.com:443/courses/play-by-play-nano-server,Play by Play: Nano Server,
Matt Morgan,manufacturing-design,Beginner,2h 16m,https://www.pluralsight.com:443/courses/solidworks-introduction,Introduction to SOLIDWORKS,
Matt Perez,manufacturing-design,Intermediate,2h 19m,https://www.pluralsight.com:443/courses/fusion-360-design-for-injection-molding,Fusion 360 – Design for Injection Molding,
Christopher Castle,manufacturing-design,Intermediate,2h 29m,https://www.pluralsight.com:443/courses/fusion-360-biomedical-design,Fusion 360 - Biomedical Design,
Robert Murdock,manufacturing-design,Beginner,1h 17m,https://www.pluralsight.com:443/courses/product-design-ergonomic-considerations-introduction,Product Design: Introduction to Ergonomic Considerations,
Matt Perez,manufacturing-design,Intermediate,52m,https://www.pluralsight.com:443/courses/solidworks-simulation-design-studies-optimization,SOLIDWORKS Simulation – Design Studies/Optimization,
Tanner Knight,manufacturing-design,Beginner,1h 44m,https://www.pluralsight.com:443/courses/fusion-360-wooden-toy-design,Fusion 360 - Wooden Toy Design,
Mitch Pricer,manufacturing-design,Intermediate,3h 14m,https://www.pluralsight.com:443/courses/onshape-design-3d-printer,Onshape - Design a 3D Printer,
Devin Sidell,manufacturing-design,Intermediate,1h 50m,https://www.pluralsight.com:443/courses/ergonomic-design-solidworks-2287,Ergonomic Design in SOLIDWORKS,
Bruno Giuntoli,manufacturing-design,Beginner,1h 3m,https://www.pluralsight.com:443/courses/catia-v5-essentials-assembly-design-basics,CATIA V5 Essentials - Assembly Design Basics,
Quintus Smit,manufacturing-design,Intermediate,2h 26m,https://www.pluralsight.com:443/courses/fusion-360-wood-fittings-furniture,Fusion 360 - Designing Wood Fittings and Furniture,
Mitch Pricer,manufacturing-design,Beginner,1h 21m,https://www.pluralsight.com:443/courses/3d-printing-design-selective-laser-sintering,3D Printing: Design for Selective Laser Sintering,
Samer Najia,manufacturing-design,Intermediate,2h 20m,https://www.pluralsight.com:443/courses/designing-rocket-3d-printing-tinkercad-1986,Designing a Rocket for 3D Printing in Tinkercad,
,manufacturing-design,Beginner,46m,https://www.pluralsight.com:443/courses/fusion-360-essentials-editing-errors-design-changes,Fusion 360 Essentials - Editing Errors and Design Changes,
Matt Perez,manufacturing-design,Intermediate,2h 3m,https://www.pluralsight.com:443/courses/fusion-360-architectural-hardware-design,Fusion 360 - Architectural Hardware Design,
Andrew Camardella,manufacturing-design,Advanced,2h 32m,https://www.pluralsight.com:443/courses/modeling-complex-surfaces-product-design-solidworks-1745,Modeling Complex Surfaces for Product Design in SolidWorks,
