author,category,difficulty,duration,link,name,rating
Edward Curren,security-certifications,Beginner,1h 40m,https://www.pluralsight.com:443/courses/asymmetric-cryptography-securing-data,Securing Data with Asymmetric Cryptography,
Michael Brown,security-certifications,Intermediate,1h 15m,https://www.pluralsight.com:443/courses/demystifying-aws-security-specialty-exam,Demystifying the AWS Certified Security Specialty Exam,
,security-certifications,Intermediate,49m,https://www.pluralsight.com:443/courses/risk-management-information-systems-control-monitoring-reporting,Risk Management and Information Systems Control: Risk and Control Monitoring and Reporting,
Dale Meredith,security-certifications,Beginner,4h 35m,https://www.pluralsight.com:443/courses/laying-foundation-penetration-testing,Laying the Foundation for Penetration Testing for CompTIA PenTest+,
Christopher Rees,security-certifications,Beginner,3h 22m,https://www.pluralsight.com:443/courses/comptia-security-plus-threats-attacks-vulnerabilities,"Threats, Attacks, and Vulnerabilities for CompTIA Security+",
Kevin Henry,security-certifications,Intermediate,59m,https://www.pluralsight.com:443/courses/security-controls-frameworks,Security Controls and Control Frameworks,
Richard Harpur,security-certifications,Beginner,2h 19m,https://www.pluralsight.com:443/courses/iso-iec-27001-information-security,ISO/IEC 27001 Information Security: The Big Picture,
Kevin Henry,security-certifications,Intermediate,2h 32m,https://www.pluralsight.com:443/courses/risk-assessment-management,Risk Assessment and Management,
Kevin Henry,security-certifications,Intermediate,17m,https://www.pluralsight.com:443/courses/isc2-certification-examination-preparing,Preparing for an (ISC)2® Certification Exam,
Kevin Henry,security-certifications,Intermediate,1h 50m,https://www.pluralsight.com:443/courses/risk-management-information-systems-control-risk-identification,Risk Management and Information Systems Control: Risk Identification,
Kevin Henry,security-certifications,Intermediate,4h 35m,https://www.pluralsight.com:443/courses/csslp-secure-software-concepts,CSSLP®: Secure Software Concepts,
Kevin Henry,security-certifications,Intermediate,16m,https://www.pluralsight.com:443/courses/isaca-certification-examination-preparing,Preparing for an ISACA® Certification Examination,
Deepak Maini,architecture-construction,Advanced,3h 10m,https://www.pluralsight.com:443/courses/autodesk-navisworks-timeliner-simulation,TimeLiner Simulation with Autodesk Navisworks,
Curtis Smith,architecture-construction,Beginner,3h 49m,https://www.pluralsight.com:443/courses/civil-3d-assemblies-corridor-modeling-fundamentals,Civil 3D Assemblies & Corridor Modeling Fundamentals,
Fabio Sato,architecture-construction,Intermediate,4h 17m,https://www.pluralsight.com:443/courses/revit-mep-fittings-family-creation,Revit MEP Fittings Family Creation,
Mike Woolard,security-certifications,Intermediate,4h 13m,https://www.pluralsight.com:443/courses/preparing-organization-iso-27001-2013-certification,Preparing Your Organization for ISO 27001:2013 Compliance/Certification,
Dejan Skenderovic,architecture-construction,Intermediate,53m,https://www.pluralsight.com:443/courses/bim-preparing-reality-capture-data,Preparing Reality Capture Data for BIM,
Jaiprakash Pandey,architecture-construction,Intermediate,5h 33m,https://www.pluralsight.com:443/courses/autocad-2016-professional-certification-exam-prep,Preparing for the AutoCAD 2016 Professional Certification Exam,
Evan Anderson-Decina,architecture-construction,Intermediate,1h 43m,https://www.pluralsight.com:443/courses/revit-curtain-wall-systems,"Storefront, Curtain Walls, and Curtain Systems in Revit",
Kevin Griendling,architecture-construction,Beginner,7h 15m,https://www.pluralsight.com:443/courses/are-vol-2-project-mgmt,Prepare for the ARE Vol. 2: Project Management,
Eric DeLeon,architecture-construction,Beginner,2h 38m,https://www.pluralsight.com:443/courses/microstation-essentials-designing-annotating-elements,MicroStation Essentials: Designing and Annotating Elements,
Pierre Derenoncourt,architecture-construction,Intermediate,37m,https://www.pluralsight.com:443/courses/introduction-hvac-design-revit-mep-1348,Introduction to HVAC Design in Revit MEP,
